column_name,dtype,description
digital_use_prevalence_index_lag3,float64,lagged feature
digital_use_prevalence_index_rolling3,float64,rolling historical average
commute_burden_index_lag1,float64,lagged feature
commute_burden_index_lag2,float64,lagged feature
commute_burden_index_lag3,float64,lagged feature
commute_burden_index_rolling3,float64,rolling historical average
work_family_compatibility_proxy_lag1,float64,lagged feature
work_family_compatibility_proxy_lag2,float64,lagged feature
work_family_compatibility_proxy_lag3,float64,lagged feature
work_family_compatibility_proxy_rolling3,float64,rolling historical average
gendered_care_risk_proxy_lag1,float64,lagged feature
gendered_care_risk_proxy_lag2,float64,lagged feature
gendered_care_risk_proxy_lag3,float64,lagged feature
gendered_care_risk_proxy_rolling3,float64,rolling historical average
fertility_rate_lag1,float64,lagged feature
fertility_rate_lag2,float64,lagged feature
fertility_rate_lag3,float64,lagged feature
fertility_rate_rolling3,float64,rolling historical average
state_history_mean_fertility,float64,derived
state_history_mean_remote_work,float64,derived
state_log_population_baseline,float64,derived
year_index,int64,derived
year_index_sq,int64,derived
post_2020,int64,derived
post_2020_trend,int64,derived
region_id,int64,derived
ml_feature_manifest,object,derived
